,Date,NIKKEI 225
881,1983-05-13,8629.509766
882,1983-05-16,8591.790039
883,1983-05-17,8572.230469
884,1983-05-18,8598.839844
885,1983-05-19,8584.419922
886,1983-05-20,8561.450195
887,1983-05-23,8528.639648
888,1983-05-24,8563.509766
889,1983-05-25,8582.339844
890,1983-05-26,8626.0
891,1983-05-27,8617.919922
892,1983-05-30,8622.349609
893,1983-05-31,8617.570313
894,1983-06-01,8549.700195
895,1983-06-02,8517.879883
896,1983-06-03,8510.980469
897,1983-06-06,8505.919922
898,1983-06-07,8475.299805
899,1983-06-08,8445.450195
900,1983-06-09,8468.120117
901,1983-06-10,8500.480469
902,1983-06-13,8598.650391
903,1983-06-14,8618.379883
904,1983-06-15,8608.330078
905,1983-06-16,8645.330078
906,1983-06-17,8702.679688
907,1983-06-20,8711.730469
908,1983-06-21,8798.620117
909,1983-06-22,8826.879883
910,1983-06-23,8813.480469
911,1983-06-24,8845.379883
912,1983-06-27,8900.040039
913,1983-06-28,8838.240234
914,1983-06-29,8844.19043
915,1983-06-30,8870.950195
916,1983-07-01,8935.660156
917,1983-07-04,8971.580078
918,1983-07-05,8928.129883
919,1983-07-06,8984.879883
920,1983-07-07,9015.759766
921,1983-07-08,9012.410156
922,1983-07-11,8968.769531
923,1983-07-12,8937.209961
924,1983-07-13,8883.599609
925,1983-07-14,8884.980469
926,1983-07-15,8900.019531
927,1983-07-18,8885.070313
928,1983-07-19,8866.660156
929,1983-07-20,8927.320313
930,1983-07-21,9019.69043
931,1983-07-22,8993.400391
932,1983-07-25,8991.929688
933,1983-07-26,9005.480469
934,1983-07-27,9062.370117
935,1983-07-28,9112.070313
936,1983-07-29,9078.75
937,1983-08-01,9015.580078
938,1983-08-02,9040.429688
939,1983-08-03,9016.200195
940,1983-08-04,9038.610352
941,1983-08-05,8946.660156
942,1983-08-08,8960.0
943,1983-08-09,8874.219727
944,1983-08-10,8878.480469
945,1983-08-11,8908.610352
946,1983-08-12,8920.820313
947,1983-08-15,9020.299805
948,1983-08-16,9019.070313
949,1983-08-17,9010.080078
950,1983-08-18,9089.580078
